epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30918,3.32103,7.87993,0.71925,5.1161,2.7761,0.02003,0.01736,0.01162,0.00693,3e-05,0.00141,2e-05,0,2.96707,7.97315,0.68986,4.53763,2.68255,0.0001377,0.0001377,0.0001377
2,11.0099,2.21716,7.40775,0.68528,4.37463,1.68036,0.97023,0.07379,0.09574,0.0565,0.92682,0.0125,0.02622,0.00985,1.79807,6.69059,0.62666,3.32981,1.61706,0.000277723,0.000277723,0.000277723
3,15.5339,1.71632,6.17643,0.59869,3.55294,1.42536,0.46284,0.20496,0.12187,0.07887,0.54876,0.11667,0.04205,0.01371,1.60465,5.72,0.52116,7.36496,1.47727,0.000414919,0.000414919,0.000414919
4,19.7412,1.59506,5.81813,0.51773,2.97601,1.34571,0.71643,0.25941,0.25182,0.15306,0.62591,0.14702,0.09428,0.04194,1.60458,5.31598,0.48243,5.43372,1.45503,0.000549287,0.000549287,0.000549287
5,24.0119,1.58548,5.18129,0.48844,2.57402,1.3346,0.43858,0.44114,0.35318,0.17829,0.35556,0.29127,0.20934,0.09337,1.53793,4.70501,0.46164,4.62742,1.38739,0.000680828,0.000680828,0.000680828
6,28.203,1.5761,4.87578,0.50156,2.87494,1.33754,0.50114,0.30394,0.34152,0.21488,0.41512,0.19468,0.16443,0.09303,1.43855,4.46912,0.46463,2.38208,1.30064,0.000678657,0.000678657,0.000678657
7,32.2802,1.49723,4.99677,0.48347,2.3713,1.23047,0.75702,0.3362,0.42618,0.26559,0.53105,0.24225,0.23482,0.10161,1.37527,4.11851,0.43955,2.27592,1.28022,0.000671588,0.000671588,0.000671588
8,36.642,1.48663,4.50343,0.46466,2.47915,1.34493,0.53702,0.50592,0.47795,0.28404,0.47373,0.39242,0.3452,0.18651,1.49753,3.57347,0.39387,1.99887,1.31301,0.00066452,0.00066452,0.00066452
9,41.0682,1.4314,4.02381,0.44406,2.18846,1.27458,0.5734,0.53115,0.55187,0.35989,0.50799,0.42338,0.42046,0.26563,1.34638,3.24839,0.39439,1.98078,1.26273,0.000657451,0.000657451,0.000657451
10,45.243,1.43583,4.50673,0.44073,1.91861,1.19116,0.71037,0.55303,0.58205,0.37355,0.57414,0.48581,0.41146,0.24576,1.30476,3.27734,0.38869,1.80418,1.22744,0.000650383,0.000650383,0.000650383
11,49.3553,1.32973,3.65011,0.43199,1.89858,1.18712,0.62404,0.57271,0.53403,0.33654,0.55669,0.57514,0.44466,0.27672,1.21113,2.85637,0.36147,1.61351,1.14833,0.000643314,0.000643314,0.000643314
12,53.6456,1.1974,3.51215,0.41178,1.74402,1.13788,0.6538,0.59797,0.54593,0.36804,0.598,0.50032,0.41408,0.26511,1.17495,2.84009,0.34165,1.51649,1.12693,0.000636245,0.000636245,0.000636245
13,57.5226,1.2311,3.13745,0.38392,1.55919,1.137,0.58691,0.64566,0.56711,0.38586,0.52576,0.55172,0.45784,0.31448,1.14069,2.58778,0.33283,1.45607,1.12751,0.000629177,0.000629177,0.000629177
14,61.6618,1.19044,3.12958,0.37341,1.50837,1.11567,0.72512,0.61937,0.63162,0.41931,0.62351,0.53455,0.48366,0.35098,1.16073,2.56701,0.31611,1.29356,1.15354,0.000622108,0.000622108,0.000622108
15,65.8439,1.20871,2.93503,0.34554,1.49125,1.10763,0.84206,0.57144,0.62377,0.41783,0.77357,0.49375,0.47125,0.33347,1.17454,2.53893,0.30424,1.25932,1.1377,0.00061504,0.00061504,0.00061504
16,69.8894,1.18746,3.18904,0.37075,1.41157,1.10188,0.75314,0.60013,0.61796,0.42413,0.69547,0.54919,0.48947,0.34013,1.16832,2.44699,0.29753,1.20857,1.13837,0.000607971,0.000607971,0.000607971
17,74.1906,1.14232,2.89697,0.34688,1.46907,1.10171,0.63349,0.66325,0.64118,0.43264,0.68484,0.59486,0.51104,0.35315,1.14754,2.18233,0.27973,1.18791,1.11637,0.000600902,0.000600902,0.000600902
18,78.3311,1.13818,2.68809,0.36442,1.41252,1.07262,0.60437,0.6196,0.64454,0.4324,0.54148,0.53739,0.50048,0.37451,1.12122,2.25668,0.27785,1.20154,1.10734,0.000593834,0.000593834,0.000593834
19,82.6027,1.09784,2.8033,0.32658,1.30842,1.05389,0.73021,0.69276,0.6702,0.46287,0.6739,0.59564,0.52873,0.41649,1.10582,2.14372,0.26906,1.14287,1.11344,0.000586765,0.000586765,0.000586765
20,86.7523,1.13082,2.76428,0.32927,1.3478,1.09259,0.74356,0.64767,0.68762,0.48667,0.67944,0.57496,0.53817,0.42799,1.0817,2.12494,0.25537,1.02557,1.09689,0.000579697,0.000579697,0.000579697
21,91.1288,1.11485,2.69087,0.3273,1.36631,1.10621,0.72279,0.67543,0.67287,0.46881,0.66579,0.59772,0.54112,0.43491,1.10055,2.04421,0.25345,1.09107,1.10807,0.000572628,0.000572628,0.000572628
22,95.3846,1.14691,2.60166,0.32581,1.34181,1.11245,0.72634,0.64155,0.64599,0.45316,0.68992,0.59764,0.56203,0.44544,1.09141,1.94244,0.25316,1.08766,1.1134,0.000565559,0.000565559,0.000565559
23,99.1483,1.12698,2.42449,0.32331,1.20272,1.04697,0.81247,0.63635,0.7266,0.51755,0.76365,0.58418,0.62025,0.48473,1.08198,1.95224,0.24203,1.03761,1.09766,0.000558491,0.000558491,0.000558491
24,103.011,1.10931,2.28841,0.31846,1.10608,1.04321,0.70252,0.69934,0.80841,0.57736,0.69502,0.61638,0.67014,0.47998,1.07554,2.03354,0.23646,1.08617,1.11027,0.000551422,0.000551422,0.000551422
25,107.106,1.11856,2.15016,0.30385,1.21447,1.10129,0.74489,0.65461,0.80296,0.55119,0.69691,0.5825,0.65025,0.5133,1.09522,1.97932,0.23249,1.05103,1.11169,0.000544354,0.000544354,0.000544354
26,111.429,1.03947,2.23236,0.28949,1.13771,1.06007,0.78545,0.67338,0.78707,0.54849,0.73619,0.61365,0.64948,0.52593,1.06939,1.81368,0.22677,1.0015,1.09808,0.000537285,0.000537285,0.000537285
27,115.673,0.97804,2.24911,0.27256,1.09962,1.04582,0.808,0.67077,0.75503,0.53304,0.74678,0.6069,0.64792,0.55206,1.05162,1.75295,0.22276,0.98628,1.08845,0.000530216,0.000530216,0.000530216
28,119.855,1.0928,2.48893,0.30558,1.22687,1.06813,0.85127,0.64277,0.78813,0.53544,0.76014,0.58936,0.66824,0.56261,1.03231,1.95758,0.21866,0.96842,1.06969,0.000523148,0.000523148,0.000523148
29,123.911,1.03671,2.25477,0.28594,1.13927,1.05334,0.7223,0.6147,0.74384,0.52942,0.66099,0.55456,0.63236,0.52701,1.08725,2.00063,0.20946,1.01031,1.12008,0.000516079,0.000516079,0.000516079
30,128.269,1.01304,2.30633,0.27321,1.13059,1.07325,0.63317,0.71626,0.74089,0.53576,0.55921,0.59805,0.61858,0.52327,1.0739,1.9413,0.20639,1.00561,1.11509,0.000509011,0.000509011,0.000509011
31,132.482,1.00636,2.03492,0.27087,1.12068,1.09431,0.70747,0.65799,0.75517,0.54436,0.66001,0.58012,0.64706,0.54734,1.09888,1.9301,0.20402,1.00757,1.12428,0.000501942,0.000501942,0.000501942
32,136.487,0.97089,2.0005,0.2566,1.02827,1.01452,0.84319,0.63391,0.77234,0.54539,0.77463,0.55688,0.63761,0.53061,1.00746,1.99218,0.19989,0.96079,1.09388,0.000494873,0.000494873,0.000494873
33,140.463,1.01167,1.94522,0.2684,1.01951,1.02822,0.83652,0.64979,0.7929,0.56888,0.77173,0.57788,0.67691,0.57334,0.99512,1.87221,0.19485,0.9135,1.08748,0.000487805,0.000487805,0.000487805
34,144.812,1.00781,2.12344,0.25451,1.05406,1.05341,0.73402,0.69451,0.81546,0.58604,0.50739,0.73348,0.69194,0.56684,0.99168,1.78311,0.18992,0.9415,1.07015,0.000480736,0.000480736,0.000480736
35,149.013,0.91417,1.90042,0.26373,1.01439,1.02877,0.77005,0.68488,0.83152,0.58866,0.71833,0.62424,0.73962,0.63958,1.03808,1.52079,0.18889,0.9544,1.09845,0.000473668,0.000473668,0.000473668
36,153.027,1.00343,1.75023,0.28219,1.02506,1.01163,0.81367,0.6646,0.84327,0.62239,0.77084,0.61845,0.7571,0.64551,1.03156,1.56012,0.18519,0.94281,1.09694,0.000466599,0.000466599,0.000466599
37,157.024,0.96477,1.86252,0.26864,0.97069,1.03021,0.72889,0.71025,0.85334,0.6257,0.69033,0.67109,0.75916,0.65552,1.02588,1.4174,0.18067,0.91751,1.09233,0.00045953,0.00045953,0.00045953
38,161.334,1.01161,2.16101,0.25596,1.13244,1.07266,0.72807,0.66632,0.82792,0.61265,0.68839,0.63298,0.74229,0.62327,1.02757,1.48981,0.1728,0.91623,1.08841,0.000452462,0.000452462,0.000452462
39,165.43,0.97806,2.13711,0.25847,1.05152,1.06785,0.77939,0.67202,0.81014,0.59317,0.75944,0.63594,0.74045,0.64263,1.02024,1.39253,0.17307,0.89471,1.08493,0.000445393,0.000445393,0.000445393
40,169.582,0.96425,2.03463,0.26282,0.98787,1.01789,0.80226,0.64848,0.80379,0.58582,0.7878,0.61163,0.73416,0.65454,0.99264,1.34526,0.1741,0.9058,1.06448,0.000438325,0.000438325,0.000438325
41,173.787,0.89596,1.47045,0.23116,0.96026,0.98306,0.59758,0.83501,0.78808,0.57741,0.55974,0.76805,0.71137,0.59235,1.00348,1.34332,0.17496,0.9382,1.0566,0.000431256,0.000431256,0.000431256
42,177.755,1.03442,1.67533,0.27197,1.06222,1.04402,0.62297,0.82947,0.78564,0.5837,0.59944,0.78751,0.71693,0.58063,1.00728,1.35575,0.17184,0.93877,1.06118,0.000424187,0.000424187,0.000424187
